Year;Month;Day;Hour;Minutes;Seconds;Longitude;Latitude;
2022;4;26;9;22;57;-2.246488889;43.3934;
2022;4;26;9;38;54;-2.246961111;43.3937;
2022;4;26;10;12;1;-2.248269444;43.394;
2022;4;26;10;55;1;-2.249730556;43.3944;
2022;4;26;11;35;6;-2.251361111;43.395;
2022;4;26;12;18;7;-2.252669444;43.3958;
2022;4;26;12;57;10;-2.254111111;43.3974;
2022;4;26;13;30;15;-2.254469444;43.3995;
2022;4;26;14;21;4;-2.255330556;43.4014;
2022;4;26;14;49;19;-2.2558;43.4042;
2022;4;26;15;17;20;-2.2563;43.407;
2022;4;26;15;58;23;-2.255519444;43.4109;
2022;4;26;16;23;27;-2.254561111;43.4135;
2022;4;26;16;39;25;-2.253330556;43.4145;
2022;4;26;17;18;28;-2.250069444;43.4168;
2022;4;26;17;56;30;-2.246961111;43.4193;
2022;4;26;18;39;33;-2.242330556;43.422;
2022;4;26;19;6;38;-2.239088889;43.4229;
2022;4;26;19;50;28;-2.235519444;43.4227;
2022;4;26;20;25;44;-2.231880556;43.4218;
2022;4;26;20;53;48;-2.227669444;43.4198;
2022;4;26;21;8;49;-2.224861111;43.4182;
2022;4;26;21;23;49;-2.2216;43.4169;
2022;4;26;21;38;48;-2.218569444;43.4157;
2022;4;26;21;53;51;-2.215830556;43.4143;
2022;4;26;22;23;55;-2.210661111;43.4113;
2022;4;26;22;39;52;-2.20825;43.4098;
2022;4;26;23;8;55;-2.204711111;43.4063;
2022;4;26;23;24;54;-2.203511111;43.4046;
2022;4;27;0;9;57;-2.201469444;43.3997;
2022;4;27;0;41;3;-2.201788889;43.3967;
2022;4;27;1;10;1;-2.202569444;43.3949;
2022;4;27;1;52;7;-2.204669444;43.3925;
2022;4;27;2;29;9;-2.207588889;43.3907;
2022;4;27;3;1;12;-2.211061111;43.3893;
2022;4;27;3;30;15;-2.214838889;43.389;
2022;4;27;4;1;3;-2.219711111;43.3898;
2022;4;27;4;24;17;-2.223638889;43.3907;
2022;4;27;4;39;18;-2.226080556;43.3915;
2022;4;27;4;55;20;-2.228511111;43.3927;
2022;4;27;5;27;23;-2.233161111;43.396;
2022;4;27;5;54;24;-2.236211111;43.3997;
2022;4;27;6;9;26;-2.237630556;43.4017;
2022;4;27;6;24;26;-2.239038889;43.4036;
2022;4;27;6;39;29;-2.2401;43.4056;
2022;4;27;6;54;28;-2.240888889;43.4075;
2022;4;27;7;9;29;-2.241638889;43.4095;
2022;4;27;7;24;32;-2.242088889;43.4116;
2022;4;27;7;39;35;-2.2425;43.4137;
2022;4;27;7;54;36;-2.242761111;43.416;
2022;4;27;8;9;37;-2.242669444;43.4182;
2022;4;27;8;29;23;-2.24235;43.4205;
2022;4;27;8;46;24;-2.24175;43.4225;
2022;4;27;8;54;38;-2.240761111;43.4244;
2022;4;27;9;10;37;-2.239111111;43.4261;
2022;4;27;9;52;44;-2.23475;43.4299;
2022;4;27;10;27;46;-2.230161111;43.4319;
2022;4;27;10;54;47;-2.225738889;43.4326;
2022;4;27;11;9;49;-2.223269444;43.4329;
2022;4;27;11;25;47;-2.22095;43.4333;
2022;4;27;11;55;49;-2.217411111;43.4336;
2022;4;27;12;29;52;-2.214880556;43.4337;
2022;4;27;12;58;58;-2.212838889;43.4339;
2022;4;27;13;27;58;-2.211511111;43.435;
2022;4;27;14;13;3;-2.211861111;43.4334;
2022;4;27;14;41;2;-2.21265;43.4333;
2022;4;27;15;26;4;-2.214969444;43.4333;
2022;4;27;16;1;12;-2.216880556;43.434;
2022;4;27;16;36;12;-2.219;43.4358;
2022;4;27;17;11;11;-2.221411111;43.4368;
2022;4;27;17;41;14;-2.2234;43.4382;
2022;4;27;18;11;16;-2.224580556;43.4394;
2022;4;27;18;45;19;-2.225269444;43.4415;
2022;4;27;19;18;21;-2.2252;43.4428;
2022;4;27;19;44;23;-2.225161111;43.443;
2022;4;27;20;23;28;-2.226080556;43.442;
2022;4;27;21;5;34;-2.227311111;43.4416;
2022;4;27;21;41;31;-2.226469444;43.4419;
2022;4;27;22;11;33;-2.226730556;43.4422;
2022;4;27;22;56;36;-2.226861111;43.4415;
