Year;Month;Day;Hour;Minutes;Seconds;Longitude;Latitude;
2022;4;26;11;52;49;-2.226861111;43.371;
2022;4;26;12;33;51;-2.2252;43.3719;
2022;4;26;13;15;57;-2.22205;43.3741;
2022;4;26;13;45;0;-2.218961111;43.3757;
2022;4;26;14;23;0;-2.2139;43.3777;
2022;4;26;14;49;1;-2.210080556;43.3791;
2022;4;26;15;24;4;-2.204519444;43.3809;
2022;4;26;15;39;6;-2.201838889;43.3815;
2022;4;26;15;54;4;-2.19915;43.3819;
2022;4;26;16;9;11;-2.196130556;43.3824;
2022;4;26;16;24;8;-2.193338889;43.3834;
2022;4;26;16;39;10;-2.189988889;43.3841;
2022;4;26;16;54;12;-2.187030556;43.3845;
2022;4;26;17;9;13;-2.183638889;43.3847;
2022;4;26;17;24;13;-2.18025;43.3852;
2022;4;26;17;39;15;-2.176730556;43.3857;
2022;4;26;17;54;16;-2.173169444;43.3861;
2022;4;26;18;9;17;-2.169630556;43.3868;
2022;4;26;18;24;18;-2.165588889;43.3874;
2022;4;26;18;39;18;-2.1616;43.3876;
2022;4;26;18;54;19;-2.157480556;43.3876;
2022;4;26;19;9;19;-2.153580556;43.3874;
2022;4;26;19;24;21;-2.149688889;43.3869;
2022;4;26;19;39;23;-2.1459;43.3864;
2022;4;26;19;54;23;-2.1421;43.3863;
2022;4;26;20;9;28;-2.137738889;43.3864;
2022;4;26;20;24;28;-2.134069444;43.3862;
2022;4;26;20;39;30;-2.130080556;43.3856;
2022;4;26;20;54;31;-2.124969444;43.3848;
2022;4;26;21;9;32;-2.119069444;43.3839;
2022;4;26;21;24;35;-2.113019444;43.3831;
2022;4;26;21;39;33;-2.107061111;43.3824;
2022;4;26;21;54;42;-2.101088889;43.3815;
2022;4;26;22;9;33;-2.095169444;43.3804;
2022;4;26;22;24;37;-2.089461111;43.3791;
2022;4;26;22;39;36;-2.08425;43.3778;
2022;4;26;22;54;38;-2.079380556;43.3765;
2022;4;26;23;9;39;-2.075019444;43.3753;
2022;4;26;23;24;40;-2.07075;43.374;
2022;4;26;23;39;40;-2.066738889;43.3727;
2022;4;26;23;54;43;-2.063411111;43.3713;
2022;4;27;0;9;45;-2.060411111;43.3698;
2022;4;27;0;24;43;-2.0576;43.3689;
2022;4;27;0;39;59;-2.055188889;43.3682;
2022;4;27;0;55;46;-2.053261111;43.3672;
2022;4;27;1;33;50;-2.048538889;43.3652;
2022;4;27;2;15;50;-2.044269444;43.3631;
2022;4;27;2;44;52;-2.042338889;43.3615;
2022;4;27;3;10;54;-2.041080556;43.36;
2022;4;27;3;47;59;-2.040019444;43.358;
2022;4;27;4;26;0;-2.040088889;43.3558;
2022;4;27;5;4;3;-2.041119444;43.3542;
2022;4;27;5;42;8;-2.043088889;43.3544;
2022;4;27;6;27;12;-2.04365;43.3582;
2022;4;27;6;54;14;-2.042511111;43.3599;
2022;4;27;7;26;12;-2.0417;43.3619;
2022;4;27;7;54;17;-2.040430556;43.3635;
2022;4;27;8;21;21;-2.039588889;43.3642;
2022;4;27;9;4;37;-2.0382;43.3668;
2022;4;27;9;49;24;-2.036588889;43.3695;
2022;4;27;10;20;28;-2.034980556;43.3708;
2022;4;27;10;46;28;-2.032838889;43.3715;
2022;4;27;11;20;31;-2.03035;43.3723;
2022;4;27;11;56;32;-2.027769444;43.3733;
2022;4;27;12;33;38;-2.024938889;43.3746;
2022;4;27;13;11;39;-2.021269444;43.3753;
2022;4;27;13;56;42;-2.016311111;43.3753;
2022;4;27;14;31;44;-2.011938889;43.3755;
2022;4;27;15;11;46;-2.007369444;43.3761;
2022;4;27;15;56;49;-2.002188889;43.3763;
2022;4;27;16;41;54;-1.997430556;43.3756;
2022;4;27;17;18;59;-1.993419444;43.3745;
2022;4;27;17;58;3;-1.9884;43.3721;
2022;4;27;18;35;3;-1.984711111;43.3703;
2022;4;27;19;16;5;-1.980238889;43.368;
2022;4;27;19;42;6;-1.978180556;43.3671;
2022;4;27;20;11;12;-1.974530556;43.3667;
2022;4;27;20;27;16;-1.9743;43.3659;
2022;4;27;21;4;13;-1.970869444;43.3662;
2022;4;27;21;48;16;-1.967861111;43.3669;
2022;4;27;22;25;18;-1.965569444;43.3675;
2022;4;27;22;52;21;-1.964280556;43.368;
2022;4;27;23;27;21;-1.962130556;43.3682;
2022;4;28;0;0;28;-1.95945;43.3688;
2022;4;28;0;45;4;-1.9567;43.3699;
2022;4;28;1;18;31;-1.955119444;43.3708;
2022;4;28;1;57;32;-1.953061111;43.3722;
2022;4;28;2;30;36;-1.95185;43.3727;
2022;4;28;2;57;36;-1.951038889;43.3728;
2022;4;28;3;22;41;-1.950519444;43.3729;
2022;4;28;3;58;43;-1.949769444;43.3737;
2022;4;28;4;37;47;-1.9487;43.3744;
2022;4;28;5;16;51;-1.947088889;43.3751;
2022;4;28;5;42;53;-1.945969444;43.3753;
2022;4;28;6;16;57;-1.944219444;43.3762;
2022;4;28;7;0;1;-1.941080556;43.3763;
2022;4;28;7;18;45;-1.93125;43.379;
2022;4;28;7;27;2;-1.888961111;43.396;
2022;4;28;7;42;4;-1.845211111;43.4119;
2022;4;28;7;57;16;;;
