Year;Month;Day;Hour;Minutes;Seconds;Longitude;Latitude;
2022;4;26;9;20;19;-2.244261111;43.3893;
2022;4;26;9;24;29;-2.243488889;43.3896;
2022;4;26;9;54;32;-2.242538889;43.3884;
2022;4;26;10;31;34;-2.242;43.3871;
2022;4;26;11;15;40;-2.2416;43.3859;
2022;4;26;11;58;42;-2.240519444;43.3848;
2022;4;26;12;49;34;-2.2413;43.384;
2022;4;26;13;24;49;-2.24235;43.3846;
2022;4;26;14;4;52;-2.242538889;43.3854;
2022;4;26;14;30;53;-2.242369444;43.386;
2022;4;26;15;10;57;-2.242411111;43.3874;
2022;4;26;15;50;0;-2.242180556;43.3887;
2022;4;26;16;30;1;-2.240369444;43.3894;
2022;4;26;17;1;4;-2.238611111;43.3896;
2022;4;26;17;41;7;-2.237330556;43.3901;
2022;4;26;18;21;9;-2.235719444;43.3907;
2022;4;26;18;55;11;-2.234069444;43.3903;
2022;4;26;19;37;17;-2.232688889;43.3886;
2022;4;26;20;11;18;-2.232838889;43.3869;
2022;4;26;20;37;22;-2.231711111;43.3853;
2022;4;26;21;8;25;-2.2281;43.3832;
2022;4;26;21;58;13;-2.223061111;43.3799;
2022;4;26;22;21;30;-2.219819444;43.3766;
2022;4;26;23;2;18;-2.216880556;43.3733;
2022;4;26;23;38;35;-2.2149;43.3707;
2022;4;27;0;14;36;-2.215330556;43.3685;
2022;4;27;0;58;39;-2.216938889;43.3672;
2022;4;27;1;29;40;-2.218769444;43.3668;
2022;4;27;1;59;45;-2.220930556;43.3666;
2022;4;27;2;37;50;-2.224430556;43.3672;
2022;4;27;3;7;52;-2.227438889;43.3685;
2022;4;27;3;50;52;-2.232030556;43.3714;
2022;4;27;4;30;2;-2.235269444;43.3741;
2022;4;27;4;56;58;-2.237519444;43.3755;
2022;4;27;5;31;3;-2.239111111;43.377;
2022;4;27;6;11;2;-2.240069444;43.3782;
2022;4;27;6;42;4;-2.239169444;43.3783;
2022;4;27;7;20;9;-2.23765;43.3789;
2022;4;27;8;11;58;-2.235761111;43.3789;
2022;4;27;8;36;11;-2.234338889;43.3784;
2022;4;27;9;15;14;-2.2322;43.3764;
2022;4;27;9;48;18;-2.23035;43.3742;
2022;4;27;10;21;20;-2.228661111;43.3721;
2022;4;27;10;48;20;-2.226919444;43.3703;
2022;4;27;11;18;25;-2.2248;43.3684;
2022;4;27;12;1;29;-2.222988889;43.3664;
2022;4;27;12;36;31;-2.221580556;43.3653;
2022;4;27;13;15;36;-2.220138889;43.3647;
2022;4;27;14;0;36;-2.218530556;43.3659;
2022;4;27;14;34;37;-2.218119444;43.3676;
2022;4;27;15;9;29;-2.217888889;43.3695;
2022;4;27;15;33;44;-2.216680556;43.372;
2022;4;27;16;1;45;-2.215380556;43.3742;
2022;4;27;16;39;49;-2.213588889;43.3784;
2022;4;27;17;23;38;-2.2128;43.382;
2022;4;27;17;59;40;-2.2116;43.3855;
2022;4;27;18;31;55;-2.210180556;43.3884;
2022;4;27;19;5;58;-2.20915;43.3905;
2022;4;27;19;33;0;-2.208830556;43.3919;
2022;4;27;20;12;1;-2.209319444;43.3925;
2022;4;27;20;47;5;-2.210911111;43.3939;
2022;4;27;21;18;10;-2.212161111;43.3958;
2022;4;27;21;57;8;-2.213288889;43.3968;
2022;4;27;22;28;11;-2.2148;43.3974;
2022;4;27;23;4;16;-2.215830556;43.3982;
2022;4;27;23;31;17;-2.216038889;43.399;
2022;4;28;0;15;20;-2.216019444;43.4;
2022;4;28;0;53;24;-2.216169444;43.4007;
2022;4;28;1;30;25;-2.2157;43.4002;
2022;4;28;1;58;27;-2.214988889;43.3992;
2022;4;28;2;32;17;-2.21385;43.3983;
2022;4;28;2;57;33;-2.2116;43.3961;
2022;4;28;3;36;51;-2.209669444;43.3946;
2022;4;28;4;21;53;-2.208061111;43.3925;
2022;4;28;4;48;44;-2.20675;43.3921;
2022;4;28;5;29;30;-2.20585;43.3926;
2022;4;28;5;48;47;-2.2042;43.3928;
2022;4;28;6;16;49;-2.202930556;43.3927;
2022;4;28;6;48;52;-2.20205;43.3932;
2022;4;28;7;36;39;-2.203119444;43.3961;
2022;4;28;8;3;10;-2.203269444;43.3979;
2022;4;28;8;34;31;-2.203719444;43.3999;
2022;4;28;9;17;58;-2.202238889;43.4042;
2022;4;28;9;44;1;-2.201411111;43.4068;
2022;4;28;10;28;2;-2.19875;43.4101;
2022;4;28;11;2;54;-2.196561111;43.4119;
2022;4;28;11;21;10;-2.194519444;43.4145;
2022;4;28;12;5;26;-2.190119444;43.418;
2022;4;28;12;49;29;-2.186061111;43.4214;
2022;4;28;13;26;33;-2.182288889;43.4239;
