Year;Month;Day;Hour;Minutes;Seconds;Longitude;Latitude;
2022;4;26;9;5;16;-2.234711111;43.3875;
2022;4;26;9;21;16;-2.2343;43.3878;
2022;4;26;10;8;6;-2.234188889;43.3874;
2022;4;26;10;44;20;-2.234769444;43.387;
2022;4;26;11;15;21;-2.235569444;43.3869;
2022;4;26;11;58;25;-2.237580556;43.387;
2022;4;26;12;26;27;-2.238938889;43.3873;
2022;4;26;13;3;30;-2.241319444;43.3878;
2022;4;26;13;41;36;-2.24355;43.3887;
2022;4;26;14;21;34;-2.244788889;43.3899;
2022;4;26;14;52;38;-2.245180556;43.3914;
2022;4;26;15;21;39;-2.245030556;43.3927;
2022;4;26;15;49;43;-2.244619444;43.3934;
2022;4;26;16;32;46;-2.243638889;43.3953;
2022;4;26;16;59;49;-2.242461111;43.3947;
2022;4;26;17;44;51;-2.24085;43.395;
2022;4;26;18;13;52;-2.239369444;43.3954;
2022;4;26;18;57;55;-2.236811111;43.3954;
2022;4;26;19;28;59;-2.235980556;43.395;
2022;4;26;20;10;1;-2.23565;43.3945;
2022;4;26;20;47;6;-2.232711111;43.392;
2022;4;26;21;32;8;-2.227411111;43.3876;
2022;4;26;21;51;9;-2.225219444;43.3854;
2022;4;26;22;6;10;-2.223811111;43.3835;
2022;4;26;22;30;59;-2.2228;43.3816;
2022;4;26;23;2;14;-2.221111111;43.3776;
2022;4;26;23;42;4;-2.221169444;43.3749;
2022;4;27;0;7;19;-2.222780556;43.372;
2022;4;27;0;42;24;-2.225138889;43.3701;
2022;4;27;1;10;23;-2.227111111;43.3694;
2022;4;27;1;38;25;-2.229169444;43.3691;
2022;4;27;2;20;28;-2.232838889;43.3697;
2022;4;27;2;53;31;-2.23595;43.3716;
2022;4;27;3;34;36;-2.2413;43.3744;
2022;4;27;3;51;38;-2.244411111;43.3758;
2022;4;27;4;6;40;-2.247180556;43.377;
2022;4;27;4;21;40;-2.249788889;43.3779;
2022;4;27;4;37;36;-2.251919444;43.3783;
2022;4;27;5;17;44;-2.2566;43.3807;
2022;4;27;6;3;0;-2.261961111;43.3843;
2022;4;27;6;46;49;-2.263869444;43.3878;
2022;4;27;7;19;53;-2.263930556;43.3901;
2022;4;27;8;1;54;-2.263461111;43.3934;
2022;4;27;8;39;56;-2.262330556;43.3965;
2022;4;27;9;19;59;-2.25945;43.3998;
2022;4;27;10;0;3;-2.256230556;43.4021;
2022;4;27;10;33;4;-2.25295;43.4035;
2022;4;27;11;0;6;-2.250030556;43.4042;
2022;4;27;11;44;10;-2.245311111;43.4046;
2022;4;27;12;26;12;-2.241830556;43.405;
2022;4;27;13;10;17;-2.238938889;43.4055;
2022;4;27;13;51;20;-2.236880556;43.4058;
2022;4;27;14;18;20;-2.236638889;43.4059;
2022;4;27;14;46;23;-2.235719444;43.406;
2022;4;27;15;14;24;-2.235269444;43.4058;
2022;4;27;15;48;28;-2.236380556;43.4059;
2022;4;27;16;17;44;-2.237838889;43.408;
2022;4;27;16;57;32;-2.240419444;43.408;
2022;4;27;17;40;50;-2.243361111;43.4107;
2022;4;27;18;6;38;-2.243638889;43.4127;
2022;4;27;18;35;40;-2.2434;43.4142;
2022;4;27;19;15;42;-2.243438889;43.4158;
2022;4;27;19;44;47;-2.243269444;43.417;
2022;4;27;20;28;49;-2.242669444;43.4187;
2022;4;27;21;5;50;-2.24175;43.4198;
2022;4;27;21;49;54;-2.239919444;43.4207;
2022;4;27;22;32;56;-2.238288889;43.4213;
2022;4;27;23;10;59;-2.237580556;43.4212;
2022;4;27;23;56;3;-2.2357;43.422;
2022;4;28;0;26;3;-2.235288889;43.4223;
2022;4;28;1;9;5;-2.234730556;43.4235;
2022;4;28;1;39;8;-2.234169444;43.4242;
2022;4;28;2;12;11;-2.233938889;43.4242;
2022;4;28;2;47;18;-2.234;43.4247;
2022;4;28;3;21;24;-2.234519444;43.4248;
2022;4;28;4;5;24;-2.235830556;43.4248;
2022;4;28;4;32;39;-2.236861111;43.4239;
2022;4;28;5;2;40;-2.238311111;43.4242;
2022;4;28;5;52;15;-2.241638889;43.4246;
2022;4;28;6;24;45;-2.243119444;43.4244;
2022;4;28;6;51;36;-2.244319444;43.4248;
2022;4;28;7;17;21;-2.243338889;43.4228;
2022;4;28;7;24;37;-2.244019444;43.4236;
2022;4;28;8;14;25;-2.24355;43.4226;
2022;4;28;8;49;40;-2.242161111;43.421;
2022;4;28;9;24;41;-2.2405;43.4193;
2022;4;28;10;5;45;-2.239430556;43.4168;
2022;4;28;10;54;37;-2.238661111;43.4138;
2022;4;28;11;23;39;-2.238419444;43.4114;
2022;4;28;12;2;59;-2.238211111;43.4071;
2022;4;28;12;33;59;-2.238288889;43.4044;
2022;4;28;13;20;48;-2.238511111;43.402;
2022;4;28;13;53;5;-2.227311111;43.4087;
2022;4;28;13;54;6;-2.225569444;43.4105;
