Year;Month;Day;Hour;Minutes;Seconds;Longitude;Latitude;
2022;4;26;9;23;29;-2.249411111;43.3874;
2022;4;26;9;39;26;-2.247711111;43.3867;
2022;4;26;10;11;31;-2.24475;43.3851;
2022;4;26;10;42;33;-2.242388889;43.3834;
2022;4;26;11;9;33;-2.240719444;43.3819;
2022;4;26;11;43;37;-2.239488889;43.3797;
2022;4;26;12;27;42;-2.236788889;43.3789;
2022;4;26;12;55;46;-2.235588889;43.3785;
2022;4;26;13;29;47;-2.234238889;43.3789;
2022;4;26;14;9;48;-2.2319;43.3799;
2022;4;26;14;36;52;-2.230011111;43.3809;
2022;4;26;15;7;55;-2.227838889;43.3818;
2022;4;26;15;48;56;-2.224538889;43.3827;
2022;4;26;16;15;58;-2.22235;43.3836;
2022;4;26;16;54;58;-2.218719444;43.3842;
2022;4;26;17;32;4;-2.2154;43.3843;
2022;4;26;18;7;6;-2.211811111;43.3841;
2022;4;26;18;44;8;-2.209;43.3842;
2022;4;26;19;25;10;-2.206788889;43.3826;
2022;4;26;20;6;17;-2.20465;43.3819;
2022;4;26;20;48;5;-2.202738889;43.3806;
2022;4;26;21;9;22;-2.197369444;43.3787;
2022;4;26;21;24;23;-2.193961111;43.3779;
2022;4;26;21;39;24;-2.190530556;43.3766;
2022;4;26;21;54;24;-2.186619444;43.3752;
2022;4;26;22;9;22;-2.183019444;43.374;
2022;4;26;22;24;27;-2.179219444;43.3731;
2022;4;26;22;39;27;-2.176261111;43.372;
2022;4;26;22;54;29;-2.172911111;43.371;
2022;4;26;23;9;30;-2.169688889;43.3701;
2022;4;26;23;39;31;-2.163730556;43.3686;
2022;4;26;23;54;33;-2.161169444;43.3677;
2022;4;27;0;9;36;-2.158661111;43.3664;
2022;4;27;0;24;36;-2.155980556;43.3656;
2022;4;27;0;39;35;-2.153211111;43.3649;
2022;4;27;0;54;35;-2.1507;43.3643;
2022;4;27;1;10;35;-2.14815;43.3642;
2022;4;27;1;24;37;-2.145719444;43.3638;
2022;4;27;1;39;39;-2.143338889;43.3633;
2022;4;27;1;55;38;-2.1409;43.3625;
2022;4;27;2;30;43;-2.1359;43.3616;
2022;4;27;3;14;48;-2.131030556;43.3615;
2022;4;27;3;51;50;-2.127311111;43.3621;
2022;4;27;4;28;50;-2.124461111;43.3624;
2022;4;27;5;18;42;-2.120469444;43.3622;
2022;4;27;5;44;56;-2.11845;43.362;
2022;4;27;6;24;1;-2.1156;43.3616;
2022;4;27;7;3;2;-2.112888889;43.3608;
2022;4;27;7;33;10;-2.1115;43.36;
2022;4;27;8;12;55;-2.109069444;43.3599;
2022;4;27;8;45;57;-2.106611111;43.3587;
2022;4;27;9;11;10;-2.104680556;43.3584;
2022;4;27;9;48;14;-2.102469444;43.3571;
2022;4;27;10;14;16;-2.10135;43.3566;
2022;4;27;10;52;18;-2.099480556;43.3558;
2022;4;27;11;36;10;-2.096669444;43.3564;
2022;4;27;11;58;24;-2.094530556;43.3574;
2022;4;27;12;41;26;-2.091219444;43.3597;
2022;4;27;13;26;31;-2.08785;43.3608;
2022;4;27;13;57;35;-2.085361111;43.3619;
2022;4;27;14;34;39;-2.081780556;43.3619;
2022;4;27;15;6;40;-2.077661111;43.3615;
2022;4;27;15;39;43;-2.073630556;43.3606;
2022;4;27;16;22;47;-2.069030556;43.3612;
2022;4;27;17;3;45;-2.064161111;43.3598;
2022;4;27;17;29;48;-2.061330556;43.3589;
2022;4;27;17;56;49;-2.058630556;43.3577;
2022;4;27;18;22;52;-2.056180556;43.3564;
2022;4;27;19;6;53;-2.052319444;43.3538;
2022;4;27;19;39;58;-2.049361111;43.3511;
2022;4;27;20;17;3;-2.046930556;43.3482;
2022;4;27;20;48;5;-2.04655;43.3459;
2022;4;27;21;15;11;-2.04695;43.3448;
2022;4;27;21;57;6;-2.047861111;43.3424;
2022;4;27;22;32;13;-2.049161111;43.3402;
2022;4;27;23;2;17;-2.049888889;43.3383;
2022;4;27;23;47;17;-2.0508;43.337;
2022;4;28;0;22;24;-2.053630556;43.337;
2022;4;28;0;57;19;-2.05575;43.3381;
2022;4;28;1;39;23;-2.05985;43.3388;
2022;4;28;2;12;24;-2.063330556;43.3394;
2022;4;28;2;45;28;-2.066330556;43.3403;
2022;4;28;3;23;32;-2.067638889;43.3415;
2022;4;28;3;52;34;-2.067580556;43.3423;
2022;4;28;4;30;40;-2.067938889;43.3433;
2022;4;28;5;21;28;-2.066438889;43.3438;
2022;4;28;5;51;46;-2.064680556;43.3433;
2022;4;28;6;19;44;-2.063238889;43.3432;
2022;4;28;6;46;45;-2.061461111;43.3427;
2022;4;28;7;27;53;-2.059461111;43.3414;
2022;4;28;8;13;40;-2.057580556;43.3392;
2022;4;28;8;43;54;-2.055169444;43.338;
2022;4;28;9;24;0;-2.053761111;43.3352;
